#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
100,-39904.38083665483,3909.6149702631737,-35994.76586639166,16.74478214425331
200,-36715.49021165483,7197.028501496752,-29518.46171015808,30.824691244578677
300,-33653.27146165483,10303.948477008846,-23349.322984645987,44.131551005778334
400,-30850.591774154833,13287.111826015462,-17563.47994813937,56.90836426227003
500,-28180.505836654833,15901.082788441723,-12279.42304821311,68.1039358543968
600,-25669.689430404833,18772.556408868637,-6897.133021536196,80.40238482513581
700,-23285.529274154833,21391.62132407946,-1893.9079500753724,91.6197736883441
800,-21108.861305404833,23928.347946625203,2819.48664122037,102.48450972428081
900,-19034.060524154833,26299.16391629097,7265.103392136138,112.6386546255363
1000,-16640.654274154833,28192.90066917916,11552.246395024325,120.74948129436906
1100,-14953.771461654833,30580.23238829081,15626.460926635977,130.9743627332437
1200,-13084.537086654833,32446.288701658603,19361.75161500377,138.96663477893543
1300,-11230.396461654833,34212.84882674506,22982.452365090227,146.53276716391204
1400,-9796.998024154833,36223.75353915361,26426.755514998775,155.14542124321306
1500,-8225.662086654833,37854.510866406024,29628.84877975119,162.12991367601862
1600,-6442.333961654833,39234.23254457372,32791.89858291889,168.03922676601493
1700,-5445.802711654833,41173.35154777905,35727.54883612422,176.34442446640873
1800,-3969.107399154833,42388.85347096389,38419.74607180906,181.55038849469796
1900,-2792.287086654833,43771.60602011881,40979.318933463976,187.4726827285599
2000,-1378.1933366548328,44851.67375639686,43473.48041974203,192.09858555596682
2100,-697.2402116548328,46353.7389722052,45656.49876055037,198.53189292676362
2200,639.6504133451672,47508.362364689354,48148.01277803452,203.47711574611054
2300,1656.8769758451672,48628.41423618514,50285.29121203031,208.2742696144869
2400,2990.291038345167,49663.92083743587,52654.21187578104,212.70931822637425
2500,3925.580100845167,50749.16430917126,54674.74441001643,217.357388597984
2600,4516.181663345167,52152.52455827163,56668.7062216168,223.3679450900748
2700,5770.166038345167,52584.971401232295,58355.13743957746,225.22010399304193
2800,6258.697288345167,53734.07422861591,59992.771516961075,230.14168237153604
2900,6872.212913345167,54732.579560701386,61604.79247404655,234.41825548239692
3000,7430.041038345167,55551.34122556681,62981.382263911975,237.92499100763837
3100,8188.634788345167,56160.49862175807,64349.13341010324,240.53399674563732
3200,8911.384788345167,56794.123242586385,65705.50803093155,243.2477949886114
3300,9267.548850845167,57581.21219302341,66848.76104386858,246.6188770781425
