#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
100,-39910.28708665483,3926.722567080884,-35983.56451957395,16.818053549213424
200,-36692.78708665483,7119.590672849707,-29573.196413805126,30.49302698088994
300,-33736.00583665483,10252.021678169083,-23483.98415848575,43.90914983823785
400,-30890.646461654833,13158.239764862112,-17732.40669679272,56.35640848020271
500,-28383.919899154833,16001.052101381763,-12382.86779777307,68.53210189607198
600,-25722.060524154833,18701.44869174424,-7020.611832410592,80.09783226917324
700,-23207.087867904833,21097.101042719674,-2109.9868251851585,90.35835076410615
800,-21097.892555404833,23952.42123090959,2854.5286755047564,102.58761499267803
900,-18913.466774154833,26274.073439013388,7360.606664858555,112.53119274524782
1000,-16781.287086654833,28360.219029148226,11578.931942493393,121.46610160294826
1100,-15013.013649154833,30602.57724345592,15589.563594301086,131.07006518339045
1200,-12888.427711654833,32181.548705902882,19293.12099424805,137.83276006556392
1300,-11460.185524154833,34304.44075171114,22844.255227556307,146.92505306454296
1400,-9750.755836654833,36040.79404069483,26290.03820404,154.36181033364366
1500,-7978.380836654833,37878.658502259175,29900.277665604342,162.23333739030642
1600,-6492.974586654833,39607.01596139447,33114.04137473964,169.6358487221749
1700,-4853.951149154833,41013.10638870066,36159.15523954583,175.6580984985454
1800,-3713.583961654833,42757.47649485928,39043.892533204445,183.12919159306767
1900,-2331.224586654833,43966.810822856845,41635.58623620201,188.3087399669893
2000,-1289.7870866548328,45302.473000310594,44012.68591365576,194.02934732855678
2100,119.06447584516718,46502.39418711653,46621.4586629617,199.16857945657034
2200,844.9316633451672,48003.29917008965,48848.23083343482,205.59691757944626
2300,2026.6269758451672,49121.760829966515,51148.38780581168,210.38726061163422
2400,3052.181663345167,50121.37710841476,53173.55877175993,214.66859187769964
2500,3625.908225845167,51184.298872492975,54810.20709833814,219.22105893935432
2600,4808.884788345167,51650.21499021156,56459.09977855673,221.21656590053442
2700,5380.587913345167,53029.45906284219,58410.046976187354,227.12383341808174
2800,6075.619163345167,54197.27330455347,60272.89246789864,232.12555231141192
2900,6893.603538345167,55146.037742433255,62039.64128077842,236.18908642905487
3000,8042.541038345167,55355.924219144974,63398.46525749014,237.08802490619243
3100,8406.587913345167,56360.13259637542,64766.72050972059,241.3890240153262
3200,9067.158225845167,57150.02708316897,66217.18530901414,244.77212214619266
3300,9913.876975845167,57437.130486554,67351.00746239917,246.00177876944636
3400,10238.009788345167,58168.16514308937,68406.17493143454,249.13278173436487
3500,10762.869163345167,58477.684482259676,69240.55364560484,250.45844524426576
3600,10766.080100845167,59680.61362534063,70446.6937261858,255.6105603730115
3700,11496.697288345167,59892.86066341004,71389.55795175521,256.51960907480634
3800,12236.744163345167,60097.68076421553,72334.4249275607,257.39684839193563
3900,12442.275413345167,60657.08139367029,73099.35680701546,259.7927471550682
4000,12555.447288345167,61490.457470848225,74045.90475919339,263.36207583902234
4100,13301.119163345167,61667.132917562965,74968.25208090813,264.1187723137337
4200,13597.939475845167,62360.39367023343,75958.3331460786,267.08799060272713
4300,14069.462913345167,62789.00757868332,76858.47049202849,268.92373314402073
4400,14890.009788345167,62744.85545919789,77634.86524754306,268.7346307317336
4500,14339.150413345167,63953.47294990299,78292.62336324816,273.91110890964194
4600,14655.306663345167,64526.23105290625,79181.53771625142,276.3642173945166
4700,15460.166038345167,64558.051758138,80018.21779648316,276.5005046710987
4800,15723.041038345167,64721.15065641818,80444.19169476334,277.1990531318658
4900,16280.900413345167,64747.290262915194,81028.19067626036,277.3110084060957
5000,16002.072288345167,65414.659855955164,81416.73214430033,280.1693355125118
5100,16481.345725845167,65367.83186690579,81849.17759275096,279.9687724184861
5200,16704.595725845167,65378.16752738599,82082.76325323115,280.0130397912003
5300,16598.986350845167,66252.75984754768,82851.74619839285,283.7588966025576
5400,16828.666038345167,66394.1508689255,83222.81690727067,284.3644707749845
5500,17253.759788345167,66645.80014395807,83899.55993230324,285.4422782622256
5600,17203.189475845167,66653.33449683525,83856.52397268041,285.474547705249
5700,17572.291038345167,66936.59504641593,84508.88608476109,286.6877454827454
5800,17887.119163345167,66762.86582130556,84649.98498465073,285.94366760073154
5900,17952.892600845167,67096.6414164789,85049.53401732407,287.373220042278
6000,17653.837913345167,67300.12841662357,84953.96632996874,288.24474972295667
6100,17938.689475845167,67202.79670618474,85141.48618202991,287.82788046615724
6200,18000.080100845167,67348.71583724371,85348.79593808888,288.4528484179493
6300,18016.025413345167,67745.24693204556,85761.27234539072,290.1511810789357
6400,17610.923850845167,68140.54753239872,85751.47138324389,291.84424356328583
6500,18212.923850845167,68011.56348408945,86224.48733493462,291.291808143059
6600,18715.587913345167,67738.13156557223,86453.7194789174,290.1207061440946
6700,18717.439475845167,67793.99200736638,86511.43148321155,290.3599550050283
6800,18870.126975845167,67674.31284999405,86544.43982583922,289.84737219760353
6900,18520.939475845167,68241.32147268578,86762.26094853095,292.27585580356003
7000,18820.556663345167,68250.50425181258,87071.06091515775,292.3151854145643
7100,19135.009788345167,68208.81405742606,87343.82384577123,292.1366273652772
7200,18723.931663345167,68782.32099262811,87506.25265597328,294.5929430795406
7300,19376.267600845167,68294.75383975264,87671.0214405978,292.50470528178016
7400,19426.759788345167,68727.2083506789,88153.96813902407,294.3568970264502
7500,18997.947288345167,69252.29590383172,88250.24319217689,296.6058337506747
7600,19599.673850845167,68935.6196704309,88535.29352127606,295.24951744359794
7700,19426.314475845167,69549.57579046022,88975.89026630539,297.87907599455934
7800,19791.111350845167,69305.92808116204,89097.03943200721,296.8355390112052
7900,19976.369163345167,69339.04313006205,89315.41229340722,296.97736992901804
8000,20049.619163345167,69217.30643097218,89266.92559431735,296.45597472239916
8100,19502.970725845167,69862.65195571136,89365.62268155653,299.21997330070394
8200,20195.650413345167,69479.57054136787,89675.22095471303,297.579245281325
8300,19997.205100845167,70129.81939410977,90127.02449495494,300.3642446895866
8400,20533.791038345167,69736.93055059505,90270.72158894021,298.68151169884436
8500,20153.634788345167,70311.28440576885,90464.91919411402,301.14145474994996
8600,20595.353538345167,69931.1424295482,90526.49596789337,299.5133162697885
8700,20170.259788345167,70078.7449372895,90249.00472563467,300.14549408138186
8800,20635.025413345167,69813.97588484338,90449.00129818855,299.0114949189395
8900,20229.119163345167,70499.94210756663,90729.0612709118,301.94947092045965
9000,20826.759788345167,70156.94435502496,90983.70414337012,300.4804202118953
